tick,agent_id,x,y,color
7,293,17,19,3
7,209,8,16,3
7,333,4.08287,15.053,6
7,133,11.4193,11.8747,3
7,265,13,10,3
7,421,3.89881,-0.843875,7
7,77,12.6777,10.1456,3
7,137,14,-13,0
7,165,5.04036,-22.819,5
8,37,11.6794,7.96033,3
8,181,2,-1,7
8,317,4.76113,-0.134817,7
8,177,21,11,3
8,309,-10,-10,2
8,369,-0.373308,-17.5908,5
8,421,3.74876,-0.694339,7
8,257,3.28255,-1.07213,7
8,169,13,-2,7
8,25,4.87503,1.03129,7
8,165,4.46266,-22.1262,5
8,173,13,3,0
8,273,13,11,3
8,285,5.8265,-7.59751,7
8,17,-5.72602,10.6041,1
8,277,-4,-14,5
8,133,11.5938,11.8343,3
8,253,7.24767,-2.90124,7
8,321,3.28255,-1.07213,7
8,441,8,-24,5
8,209,9.38216,15.289,3
8,61,-4,2,7
8,157,6,-14,5
8,357,-6.79842,11.1668,1
8,213,3,4,7
8,225,12,8,3
8,437,16.0003,-0.669735,7
8,105,11.3194,11.7588,3
8,325,16,-1,7
8,117,17,-13,5
8,261,9.4165,-10.5964,7
8,125,-2,-13,5
8,381,5.92816,-1.18029,7
8,85,9,5,7
8,373,3,-6,7
8,425,12,-11,7
8,241,-2.36959,-19.9115,5
8,341,9.54873,-19.4959,5
8,249,2.82682,-1.05288,7
8,393,12.975,16.0382,3
8,13,11,6,3
8,385,17,-19,5
8,429,9.32639,-17.0978,5
8,97,-7,-10,2
8,445,12,17,3
8,121,9.94033,-6.97981,7
8,329,0.739644,-21.5412,5
8,409,2.4677,16.1001,6
8,345,-2.67987,2.3884,7
8,33,-49,-1,4
8,417,10,4,7
8,401,3.28255,-1.07213,7
8,77,12.1745,11.7327,3
8,5,3.11896,-17.0801,5
8,141,-3,-14,5
8,81,11.1143,12.934,3
8,129,-17,12,4
8,365,-13.0313,-1.20638,2
8,145,12,8,3
8,301,12.5924,15.4173,3
8,217,13,7,3
8,289,-2.647,-7.52711,7
8,101,13,11,3
8,161,4,4,7
8,69,10.9383,8.54436,3
8,353,3.28255,-1.07213,7
8,109,13,-1,7
8,73,11.6515,11.6831,3
8,113,12,8,3
8,21,12,8,3
8,189,12,10,3
8,337,12.9629,16.0169,3
8,237,12,2,7
8,89,11,9,3
8,65,13,0,7
8,53,-6.69459,11.6505,1
8,333,2.79812,15.6522,6
8,41,8.25029,-15.1445,5
8,229,-7,-7,2
8,153,4,14,6
8,389,-13.0313,-1.20638,2
8,49,12.1745,11.7327,3
8,137,14,-13,0
8,245,0,-19,5
8,57,6.77168,-5.57766,7
8,149,11,-11,7
8,265,13,10,3
8,305,-1,-2,7
8,197,7,5,7
8,293,17,19,3
8,45,-21.8506,-5.14961,2
8,349,10,10,3
8,201,12.9591,16.0093,3
8,361,-13.0313,-1.20638,2
8,93,11.2779,-12.3407,5
8,1,10.0839,11.0011,3
8,185,8.1222,-6.17834,7
8,377,-18.0351,-0.370511,2
8,221,-14,-15,5
8,405,3.32612,-0.346671,7
8,269,-10.0768,11.5844,1
8,29,-18.9726,-0.277707,2
8,233,12,4,3
8,205,13,11,3
8,193,8.58553,1.92819,7
8,397,-11.023,-1.17691,2
8,281,11,9,3
8,433,12,19,3
8,297,14.119,-1.48968,7
8,413,0,-11,5
8,313,-12,13,1
8,9,12,9,3
9,85,8.27306,3.33806,7
9,401,3.28255,-1.07213,7
9,181,3.28255,-1.07213,7
9,221,-14,-15,5
9,337,12.9681,16.0153,3
9,397,-11.1735,-0.820498,2
9,241,-1.52694,-20.0052,5
9,129,-17,12,4
9,413,0,-11,5
9,37,11.0406,7.1291,3
9,113,12,8,3
9,265,13,10,3
9,29,-17.2427,0.0675251,2
9,437,16.0003,-0.669735,7
9,313,-12,13,1
9,121,9.19234,-6.31609,7
9,381,3.92975,-1.10138,7
9,169,13,-2,7
9,149,11,-11,7
9,9,12,9,3
9,213,3,4,7
9,297,12.8078,-0.590297,7
9,161,4,4,7
9,269,-8.12432,11.8396,1
9,253,6.50471,-2.2319,7
9,17,-4.85681,11.2855,1
9,385,17,-19,5
9,69,11.161,9.25139,3
9,257,3.28255,-1.07213,7
9,249,3.28255,-1.07213,7
9,261,8.60495,-8.80307,7
9,293,17,19,3
9,205,13,11,3
9,325,16,-1,7
9,273,13,11,3
9,101,12.3442,12.3488,3
9,53,-6.78566,11.4633,1
9,369,-0.0421113,-17.6717,5
9,217,13,7,3
9,349,10,10,3
9,361,-13.0313,-1.20638,2
9,393,12.975,16.0382,3
9,177,21,11,3
9,377,-16.0624,-0.700043,2
9,317,3.28255,-1.07213,7
9,225,12,8,3
9,109,13,-1,7
9,209,10.2825,14.7269,3
9,285,5.5565,-6.70757,7
9,137,14,-13,0
9,153,4,14,6
9,229,-7,-7,2
9,237,12,2,7
9,81,11.0175,11.9619,3
9,389,-13.0313,-1.20638,2
9,341,7.8919,-19.2721,5
9,373,3,-6,7
9,33,-49,-1,4
9,429,8.19024,-16.7587,5
9,305,0.75364,-1.26869,7
9,141,-3,-14,5
9,117,17,-13,5
9,13,11,6,3
9,405,3.28255,-1.07213,7
9,97,-7,-10,2
9,353,3.28255,-1.07213,7
9,441,8,-24,5
9,201,12.9791,16.0127,3
9,21,12,8,3
9,89,11,9,3
9,421,3.66622,-0.629974,7
9,25,5.02813,0.184072,7
9,189,12,10,3
9,185,7.5426,-4.56344,7
9,145,12,8,3
9,425,12,-11,7
9,61,-4,2,7
9,365,-13.0313,-1.20638,2
9,329,0.596186,-21.4735,5
9,445,12,17,3
9,433,12,19,3
9,333,1.95564,16.3447,6
9,45,-19.6327,-3.30087,2
9,41,7.64553,-14.869,5
9,105,11.1809,11.8312,3
9,417,10,4,7
9,345,-0.9501,1.38445,7
9,125,-2,-13,5
9,157,6,-14,5
9,233,12,4,3
9,5,3.22342,-17.1519,5
9,281,11,9,3
9,309,-10,-10,2
9,173,13,3,0
9,77,11.8947,11.8528,3
