x,y,color,centroid_x,centroid_y
-41,5,0,-50,-50
-41,6,0,-50,-50
-41,7,4,-23.5561,16.2664
-41,8,0,-50,-50
-41,9,4,-23.5561,16.2664
-41,10,4,-23.5561,16.2664
-41,11,4,-23.5561,16.2664
-41,12,0,-50,-50
-41,13,4,-23.5561,16.2664
-41,14,4,-23.5561,16.2664
-41,15,4,-23.5561,16.2664
-41,16,4,-23.5561,16.2664
-41,17,0,-50,-50
-41,18,0,-50,-50
-41,19,0,-50,-50
-41,20,0,-50,-50
-41,21,0,-50,-50
-41,22,4,-23.5561,16.2664
-41,23,0,-50,-50
-41,24,0,-50,-50
-41,25,0,-50,-50
-41,26,4,-23.5561,16.2664
-41,27,0,-50,-50
-41,28,0,-50,-50
-41,29,0,-50,-50
-41,30,4,-23.5561,16.2664
-41,31,4,-23.5561,16.2664
-41,32,0,-50,-50
-41,33,0,-50,-50
-41,34,0,-50,-50
-41,35,0,-50,-50
-41,36,0,-50,-50
-41,37,0,-50,-50
-41,38,0,-50,-50
-41,39,4,-23.5561,16.2664
-41,40,0,-50,-50
-41,41,0,-50,-50
-41,42,0,-50,-50
-41,43,0,-50,-50
-41,44,0,-50,-50
-41,45,0,-50,-50
-41,46,0,-50,-50
-41,47,0,-50,-50
-41,48,0,-50,-50
-41,49,0,-50,-50
-40,-49,0,-50,-50
-40,-48,0,-50,-50
-40,-47,0,-50,-50
-40,-46,0,-50,-50
-40,-45,0,-50,-50
-40,-44,0,-50,-50
-40,-43,0,-50,-50
-40,-42,0,-50,-50
-40,-41,0,-50,-50
-40,-40,0,-50,-50
-40,-39,0,-50,-50
-40,-38,0,-50,-50
-40,-37,0,-50,-50
-40,-36,0,-50,-50
-40,-35,0,-50,-50
-40,-34,0,-50,-50
-40,-33,0,-50,-50
-40,-32,0,-50,-50
-40,-31,0,-50,-50
-40,-30,0,-50,-50
-40,-29,0,-50,-50
-40,-28,0,-50,-50
-40,-27,0,-50,-50
-40,-26,0,-50,-50
-40,-25,0,-50,-50
-40,-24,0,-50,-50
-40,-23,0,-50,-50
-40,-22,0,-50,-50
-40,-21,0,-50,-50
-40,-20,0,-50,-50
-40,-19,0,-50,-50
-40,-18,0,-50,-50
-40,-17,0,-50,-50
-40,-16,0,-50,-50
-40,-15,0,-50,-50
-40,-14,2,-13.0313,-1.20638
-40,-13,0,-50,-50
-40,-12,0,-50,-50
-40,-11,0,-50,-50
-40,-10,0,-50,-50
-40,-9,0,-50,-50
-40,-8,0,-50,-50
-40,-7,0,-50,-50
-40,-6,0,-50,-50
-40,-5,0,-50,-50
-40,-4,0,-50,-50
-40,-3,0,-50,-50
-40,-2,4,-23.5561,16.2664
-40,-1,0,-50,-50
-40,0,4,-23.5561,16.2664
-40,1,4,-23.5561,16.2664
-40,2,0,-50,-50
-40,3,0,-50,-50
-40,4,0,-50,-50
-40,5,0,-50,-50
-40,6,0,-50,-50
-40,7,4,-23.5561,16.2664
-40,8,0,-50,-50
-40,9,4,-23.5561,16.2664
-40,10,4,-23.5561,16.2664
-40,11,4,-23.5561,16.2664
-40,12,4,-23.5561,16.2664
-40,13,4,-23.5561,16.2664
-40,14,0,-50,-50
-40,15,4,-23.5561,16.2664
-40,16,4,-23.5561,16.2664
-40,17,4,-23.5561,16.2664
-40,18,0,-50,-50
-40,19,4,-23.5561,16.2664
-40,20,4,-23.5561,16.2664
-40,21,4,-23.5561,16.2664
-40,22,4,-23.5561,16.2664
-40,23,0,-50,-50
-40,24,4,-23.5561,16.2664
-40,25,0,-50,-50
-40,26,4,-23.5561,16.2664
-40,27,0,-50,-50
-40,28,0,-50,-50
-40,29,4,-23.5561,16.2664
-40,30,0,-50,-50
-40,31,4,-23.5561,16.2664
-40,32,0,-50,-50
-40,33,0,-50,-50
-40,34,0,-50,-50
-40,35,0,-50,-50
-40,36,0,-50,-50
-40,37,0,-50,-50
-40,38,0,-50,-50
-40,39,0,-50,-50
-40,40,0,-50,-50
-40,41,0,-50,-50
-40,42,0,-50,-50
-40,43,0,-50,-50
